task_2,task_3,task_4
0.0969390869140625,0.0189056396484375,0.0255889892578125
0.0249786376953125,0.02081298828125,0.0175628662109375
0.0313568115234375,0.025787353515625,0.0282440185546875
0.027191162109375,0.0256195068359375,0.015228271484375
0.0330810546875,0.0218048095703125,0.0540771484375
0.034332275390625,0.152313232421875,0.0328521728515625
0.033905029296875,0.0706329345703125,0.0268402099609375
0.1075897216796875,0.1501312255859375,0.0438232421875
0.090972900390625,0.131622314453125,0.135498046875
0.091156005859375,0.12469482421875,0.0263671875
0.0978546142578125,0.0328216552734375,0.031005859375
0.1164398193359375,0.0,0.026336669921875
0.0971527099609375,0.0240478515625,0.02728271484375
0.126312255859375,0.0213623046875,0.1160125732421875
0.02978515625,0.019744873046875,0.037872314453125
0.0235137939453125,0.0205230712890625,0.08990478515625
0.019500732421875,0.0278472900390625,0.0994873046875
0.0186309814453125,0.0280914306640625,0.1285552978515625
0.0933074951171875,0.029022216796875,0.0934295654296875
0.091094970703125,0.0214691162109375,0.1348724365234375
0.0938873291015625,0.0617523193359375,0.075408935546875
0.02520751953125,0.019500732421875,0.087493896484375
0.0170440673828125,0.0283660888671875,0.094146728515625
0.0261993408203125,0.0592803955078125,0.09295654296875
0.09735107421875,0.074432373046875,0.088531494140625
0.07208251953125,0.0894317626953125,0.094390869140625
0.023590087890625,0.11712646484375,0.0889892578125
0.03338623046875,0.1161346435546875,0.085357666015625
0.01416015625,0.1154632568359375,0.084716796875
0.014678955078125,0.11639404296875,0.022918701171875
0.0816192626953125,0.087554931640625,0.0226593017578125
0.120025634765625,0.0859222412109375,0.0222015380859375
0.0830078125,0.0784912109375,0.0292510986328125
0.080169677734375,0.1179046630859375,0.0225372314453125
0.091888427734375,0.1240386962890625,0.019439697265625
0.0767974853515625,0.08404541015625,0.0
0.0896453857421875,0.0830230712890625,0.016632080078125
0.080169677734375,0.1262054443359375,0.01708984375
0.08270263671875,0.1084136962890625,0.0213775634765625
0.115936279296875,0.09442138671875,0.086151123046875
0.032562255859375,0.091094970703125,0.0871734619140625
0.0228118896484375,0.0882568359375,0.087432861328125
0.0185089111328125,0.090118408203125,0.0893707275390625
0.0231781005859375,0.0810699462890625,0.079803466796875
0.0201873779296875,0.0949554443359375,0.0877685546875
0.01654052734375,0.085357666015625,0.085174560546875
0.0153045654296875,0.08465576171875,0.0876312255859375
0.0183868408203125,0.089691162109375,0.0986480712890625
0.109405517578125,0.1180419921875,0.085296630859375
0.0906982421875,0.0642852783203125,0.0910186767578125
0.08526611328125,0.038360595703125,0.086517333984375
0.1024322509765625,0.0850372314453125,0.0255889892578125
0.1722412109375,0.0848846435546875,0.021942138671875
0.0806732177734375,0.0942535400390625,0.021514892578125
0.12384033203125,0.086517333984375,0.02435302734375
0.10894775390625,0.1180572509765625,0.0222015380859375
0.0685577392578125,0.113983154296875,0.0202178955078125
0.0,0.122589111328125,0.0
0.1177978515625,0.094970703125,0.0213775634765625
0.083251953125,0.0883636474609375,0.0214691162109375
0.113128662109375,0.091644287109375,0.0377044677734375
0.119354248046875,0.0882110595703125,0.087005615234375
0.1060333251953125,0.0852508544921875,0.0960235595703125
0.117645263671875,0.0202484130859375,0.092864990234375
0.109344482421875,0.0889434814453125,0.0882568359375
0.08380126953125,0.0924530029296875,0.0887603759765625
0.10833740234375,0.1028594970703125,0.0313262939453125
0.085235595703125,0.064605712890625,0.025390625
0.0948944091796875,0.0952911376953125,0.0916595458984375
0.077301025390625,0.069854736328125,0.0835723876953125
0.0866851806640625,0.080963134765625,0.0915069580078125
0.1240386962890625,0.1132659912109375,0.084747314453125
0.109100341796875,0.0872039794921875,0.0844268798828125
0.118865966796875,0.07330322265625,0.0926361083984375
0.1016693115234375,0.0938720703125,0.0839080810546875
0.10491943359375,0.0885467529296875,0.0942535400390625
0.0889129638671875,0.1058502197265625,0.0851593017578125
0.017974853515625,0.1136016845703125,0.088836669921875
0.0585784912109375,0.1306304931640625,0.10064697265625
0.086761474609375,0.1177978515625,0.0866851806640625
0.0182342529296875,0.0362548828125,0.0894775390625
0.0850982666015625,0.0,0.089813232421875
0.069091796875,0.0300750732421875,0.1043853759765625
0.090179443359375,0.0319976806640625,0.119354248046875
0.0814971923828125,0.0371246337890625,0.0876922607421875
0.086883544921875,0.1480560302734375,0.1109161376953125
0.0959930419921875,0.110931396484375,0.102508544921875
0.0835113525390625,0.0887298583984375,0.087646484375
0.1101837158203125,0.084197998046875,0.08758544921875
0.0871734619140625,0.08612060546875,0.096771240234375
0.0859527587890625,0.1013031005859375,0.07257080078125
0.114654541015625,0.1208343505859375,0.1010284423828125
0.0799560546875,0.1149749755859375,0.0727081298828125
0.0677642822265625,0.124969482421875,0.0995025634765625
0.0851593017578125,0.087799072265625,0.06829833984375
0.0684661865234375,0.117095947265625,0.0902557373046875
0.06658935546875,0.1181793212890625,0.08184814453125
0.0863494873046875,0.114654541015625,0.092010498046875
0.076141357421875,0.1018524169921875,0.0816192626953125
0.0877227783203125,0.0870513916015625,0.092742919921875
0.0603790283203125,0.0821685791015625,0.0667266845703125
0.0932769775390625,0.0941925048828125,0.1067657470703125
0.062591552734375,0.0883941650390625,0.07470703125
0.0810394287109375,0.0882720947265625,0.1000518798828125
0.078125,0.072265625,0.07525634765625
0.060577392578125,0.0202789306640625,0.0975494384765625
0.059600830078125,0.021453857421875,0.071990966796875
0.0848236083984375,0.0305633544921875,0.098114013671875
0.0784912109375,0.017852783203125,0.06915283203125
0.03668212890625,0.0168609619140625,0.1102447509765625
0.010345458984375,0.021514892578125,0.029632568359375
0.013092041015625,0.01971435546875,0.0148468017578125
0.087066650390625,0.02252197265625,0.014434814453125
0.0755615234375,0.016387939453125,0.0980072021484375
0.07086181640625,0.01849365234375,0.076141357421875
0.062469482421875,0.0188751220703125,0.066436767578125
0.0770263671875,0.05706787109375,0.0988311767578125
0.08941650390625,0.10687255859375,0.0760345458984375
0.0989837646484375,0.0208740234375,0.0960693359375
0.0787506103515625,0.022552490234375,0.019439697265625
0.0650634765625,0.0269622802734375,0.04779052734375
0.036346435546875,0.0193328857421875,0.076812744140625
0.0613250732421875,0.0189361572265625,0.0975189208984375
0.1085357666015625,0.020965576171875,0.0952301025390625
0.0710601806640625,0.0233306884765625,0.070037841796875
0.0889434814453125,0.0254669189453125,0.0939788818359375
0.080291748046875,0.028045654296875,0.0899810791015625
0.09686279296875,0.023040771484375,0.097198486328125
0.083282470703125,0.0258026123046875,0.0983428955078125
0.0835418701171875,0.0179443359375,0.08734130859375
0.058258056640625,0.0234222412109375,0.075469970703125
0.081298828125,0.01885986328125,0.0991668701171875
0.0953826904296875,0.0211944580078125,0.06549072265625
0.0902099609375,0.0232696533203125,0.0959625244140625
0.0845794677734375,0.02142333984375,0.0785675048828125
0.09002685546875,0.018402099609375,0.100433349609375
0.104736328125,0.0264739990234375,0.0932159423828125
0.0804443359375,0.018707275390625,0.0772552490234375
0.0930633544921875,0.0174102783203125,0.0704803466796875
0.0636749267578125,0.0159759521484375,0.09881591796875
0.0659637451171875,0.02288818359375,0.07470703125
0.09259033203125,0.021575927734375,0.0726776123046875
0.08367919921875,0.0178985595703125,0.0399322509765625
0.0841064453125,0.0222625732421875,0.0352630615234375
0.065032958984375,0.0160675048828125,0.0374603271484375
0.024078369140625,0.0297698974609375,0.035430908203125
0.0084991455078125,0.0,0.039764404296875
0.092010498046875,0.0174407958984375,0.0377044677734375
0.1241912841796875,0.0246429443359375,0.11004638671875
0.07952880859375,0.019287109375,0.0
0.0982818603515625,0.0235137939453125,0.1134490966796875
0.12115478515625,0.0,0.12823486328125
0.0776824951171875,0.0184326171875,0.08905029296875
0.1010284423828125,0.027435302734375,0.0852813720703125
0.1060028076171875,0.0276336669921875,0.0829315185546875
0.0774383544921875,0.020599365234375,0.0835418701171875
0.105987548828125,0.0,0.10113525390625
