task_4,task_5,task_6
0.1083831787109375,0.2687835693359375,0.5147552490234375
0.06903076171875,0.3566436767578125,0.48114013671875
0.1102294921875,0.23785400390625,0.5506134033203125
0.102569580078125,0.2101287841796875,0.6533050537109375
0.1064910888671875,0.259796142578125,0.44049072265625
0.1051025390625,0.2193603515625,0.498382568359375
0.1113739013671875,0.2245330810546875,0.506134033203125
0.1326904296875,0.1640167236328125,0.4807586669921875
0.1120147705078125,0.159454345703125,0.4714813232421875
0.105560302734375,0.16339111328125,0.556243896484375
0.108489990234375,0.1852569580078125,0.475250244140625
0.1085968017578125,0.1752166748046875,0.4300537109375
0.08221435546875,0.16693115234375,0.473419189453125
0.10662841796875,0.178009033203125,0.4405670166015625
0.1109466552734375,0.1719970703125,0.374359130859375
0.104888916015625,0.1578216552734375,0.570404052734375
0.1079254150390625,0.160430908203125,0.548309326171875
0.0842437744140625,0.1830596923828125,0.4061431884765625
0.1072998046875,0.15728759765625,0.4405517578125
0.108734130859375,0.1633148193359375,0.3636627197265625
0.0841217041015625,0.1697998046875,0.46923828125
0.108734130859375,0.1740570068359375,0.37469482421875
0.106689453125,0.1484527587890625,0.4011383056640625
0.1088104248046875,0.16802978515625,0.3870086669921875
0.101806640625,0.185272216796875,0.5188751220703125
0.0827178955078125,0.1728515625,0.44110107421875
0.08001708984375,0.196075439453125,0.51611328125
0.1048736572265625,0.1616058349609375,0.3709259033203125
0.111572265625,0.1851959228515625,0.5112152099609375
0.100341796875,0.1766510009765625,0.479766845703125
0.1071014404296875,0.16363525390625,0.4293365478515625
0.1026458740234375,0.1779327392578125,0.41253662109375
0.10955810546875,0.166961669921875,0.45159912109375
0.10113525390625,0.174560546875,0.42193603515625
0.106964111328125,0.1628875732421875,0.411712646484375
0.1124114990234375,0.172210693359375,0.381072998046875
0.1006317138671875,0.1876678466796875,0.417327880859375
0.0831756591796875,0.1750946044921875,0.4486083984375
0.0999908447265625,0.183807373046875,0.4998779296875
0.1109619140625,0.1970367431640625,0.4775390625
0.1099700927734375,0.1759490966796875,0.5914306640625
0.099853515625,0.179595947265625,0.37957763671875
0.1049957275390625,0.16986083984375,0.5829925537109375
0.1023712158203125,0.18304443359375,0.4462738037109375
0.1129608154296875,0.189361572265625,0.50225830078125
0.103271484375,0.186737060546875,0.5001983642578125
0.105682373046875,0.1706085205078125,0.4431304931640625
0.0842437744140625,0.1865386962890625,0.3829193115234375
0.114105224609375,0.19781494140625,0.525543212890625
0.098419189453125,0.1705169677734375,0.484405517578125
0.108367919921875,0.188934326171875,0.415740966796875
0.1043243408203125,0.17022705078125,0.6150970458984375
0.10955810546875,0.1717376708984375,0.456512451171875
0.0830230712890625,0.178680419921875,0.451904296875
0.103851318359375,0.1850738525390625,0.409820556640625
0.085205078125,0.1747894287109375,0.441009521484375
0.0833740234375,0.209686279296875,0.5039825439453125
0.1078338623046875,0.1722259521484375,0.672271728515625
0.1002044677734375,0.1843109130859375,0.5900421142578125
0.111480712890625,0.1845855712890625,0.48516845703125
0.1441802978515625,0.166015625,0.6186065673828125
0.0966949462890625,0.1867828369140625,0.7920074462890625
0.1110076904296875,0.1751556396484375,0.7118682861328125
0.0836334228515625,0.152435302734375,0.634918212890625
0.108123779296875,0.1815948486328125,0.506622314453125
0.108154296875,0.177947998046875,0.491607666015625
0.0844573974609375,0.1924591064453125,0.591766357421875
0.1033782958984375,0.17486572265625,0.5632171630859375
0.089996337890625,0.1741943359375,0.4339141845703125
0.1090240478515625,0.1754302978515625,0.413177490234375
0.0849151611328125,0.1790618896484375,0.4787139892578125
0.08465576171875,0.1833953857421875,0.492645263671875
0.1085205078125,0.17938232421875,0.522735595703125
0.0843963623046875,0.170654296875,0.5094451904296875
0.109039306640625,0.176239013671875,0.4788665771484375
0.1107330322265625,0.1643524169921875,0.4876708984375
0.0847015380859375,0.19586181640625,0.5253753662109375
0.11480712890625,0.150604248046875,0.480377197265625
0.08837890625,0.1860809326171875,0.384063720703125
0.108123779296875,0.1902313232421875,0.4088592529296875
0.0840606689453125,0.1834259033203125,0.388580322265625
0.1138458251953125,0.178466796875,0.4687957763671875
0.1045074462890625,0.173553466796875,0.5446319580078125
0.112030029296875,0.173309326171875,0.437164306640625
0.11285400390625,0.15704345703125,0.51336669921875
0.1060791015625,0.1776275634765625,0.386566162109375
0.102294921875,0.1909332275390625,0.4547271728515625
0.11248779296875,0.170623779296875,0.4815826416015625
0.1138763427734375,0.189697265625,0.4811248779296875
0.1127777099609375,0.157501220703125,0.468780517578125
0.106658935546875,0.1873931884765625,0.488555908203125
0.1103363037109375,0.1882781982421875,0.539794921875
0.1085205078125,0.15838623046875,0.4246673583984375
0.10577392578125,0.1880340576171875,0.5323028564453125
0.0899200439453125,0.156036376953125,0.4763336181640625
0.115386962890625,0.1837005615234375,0.4976043701171875
0.11395263671875,0.1670684814453125,0.5020599365234375
0.1005706787109375,0.190582275390625,0.4890289306640625
0.1124725341796875,0.1714324951171875,0.39569091796875
0.08203125,0.17510986328125,0.37347412109375
0.103179931640625,0.1839141845703125,0.4375
0.1124114990234375,0.17926025390625,0.4754791259765625
0.0865478515625,0.17901611328125,0.52734375
0.107513427734375,0.1657562255859375,0.484649658203125
0.086090087890625,0.16534423828125,0.448211669921875
0.1106414794921875,0.1478424072265625,0.5083465576171875
0.1141510009765625,0.1971588134765625,0.4780731201171875
0.0879364013671875,0.19000244140625,0.547576904296875
0.1109466552734375,0.1714630126953125,0.4803924560546875
0.100341796875,0.19049072265625,0.4768524169921875
0.1110992431640625,0.184417724609375,0.5343017578125
0.1121978759765625,0.1701202392578125,0.5273590087890625
0.117401123046875,0.205413818359375,0.4375152587890625
0.1082305908203125,0.1719207763671875,0.3751373291015625
0.102386474609375,0.167144775390625,0.457794189453125
0.12652587890625,0.1678924560546875,0.3813018798828125
0.1061248779296875,0.1963958740234375,0.38250732421875
0.103363037109375,0.150421142578125,0.4555511474609375
0.113128662109375,0.1852569580078125,0.521392822265625
0.1019439697265625,0.18780517578125,0.411224365234375
0.104278564453125,0.1746063232421875,0.3957977294921875
0.0962066650390625,0.1789093017578125,0.4441680908203125
0.1089019775390625,0.179931640625,0.546051025390625
0.1037750244140625,0.166717529296875,0.44110107421875
0.101898193359375,0.1671600341796875,0.52862548828125
0.1042633056640625,0.16351318359375,0.4261627197265625
0.10272216796875,0.1770477294921875,0.4736785888671875
0.099151611328125,0.1958160400390625,0.541778564453125
0.1240386962890625,0.1796112060546875,0.4633026123046875
0.140472412109375,0.188995361328125,0.403533935546875
0.12005615234375,0.15093994140625,0.3833160400390625
0.11016845703125,0.1656036376953125,0.4390411376953125
0.1098785400390625,0.1760101318359375,0.5352783203125
0.0853424072265625,0.1792449951171875,0.531341552734375
0.1068878173828125,0.155059814453125,0.5332794189453125
0.104034423828125,0.1898040771484375,0.441314697265625
0.110687255859375,0.1865997314453125,0.3840789794921875
0.0864715576171875,0.1729278564453125,0.439849853515625
0.11187744140625,0.1677093505859375,0.43218994140625
0.12066650390625,0.169464111328125,0.465728759765625
0.10784912109375,0.1954498291015625,0.3759613037109375
0.1089630126953125,0.1684417724609375,0.450836181640625
0.1042938232421875,0.184234619140625,0.4987030029296875
0.106842041015625,0.1690216064453125,0.4903106689453125
0.103424072265625,0.1792755126953125,0.4850006103515625
0.101287841796875,0.182281494140625,0.3824310302734375
0.1099395751953125,0.17437744140625,0.5059051513671875
0.10675048828125,0.1698760986328125,0.444305419921875
0.1067657470703125,0.156890869140625,0.4387664794921875
0.10345458984375,0.1524658203125,0.49273681640625
0.123138427734375,0.1783294677734375,0.4442138671875
0.123443603515625,0.1815338134765625,0.3904266357421875
0.1248626708984375,0.165191650390625,0.394561767578125
0.112884521484375,0.2041778564453125,0.4287872314453125
0.1137847900390625,0.1541748046875,0.517364501953125
0.107513427734375,0.1808624267578125,0.4745330810546875
0.06427001953125,0.1874237060546875,0.4573974609375
0.0711517333984375,0.1683502197265625,0.5360107421875
0.0643310546875,0.1778106689453125,0.4797821044921875
0.074981689453125,0.1776275634765625,0.43792724609375
0.08837890625,0.1748046875,0.467620849609375
0.075958251953125,0.181549072265625,0.55487060546875
0.069183349609375,0.173370361328125,0.3777313232421875
0.0734100341796875,0.1804046630859375,0.443572998046875
0.076171875,0.16412353515625,0.380950927734375
0.0769500732421875,0.1638641357421875,0.4328765869140625
0.07000732421875,0.165008544921875,0.479461669921875
0.08306884765625,0.18817138671875,0.5618743896484375
0.092437744140625,0.1710205078125,0.4810333251953125
0.069427490234375,0.151458740234375,0.5405426025390625
0.0765228271484375,0.1852264404296875,0.4947357177734375
0.0620880126953125,0.1848602294921875,0.433868408203125
0.074005126953125,0.17431640625,0.3988800048828125
0.075103759765625,0.190521240234375,0.4433441162109375
0.0695343017578125,0.1627197265625,0.489501953125
0.0773162841796875,0.1899261474609375,0.39080810546875
0.0771636962890625,0.1776123046875,0.4181060791015625
0.062591552734375,0.1716461181640625,0.4486083984375
0.083160400390625,0.18756103515625,0.485015869140625
0.068084716796875,0.184478759765625,0.376556396484375
0.0684051513671875,0.1702880859375,0.3746490478515625
0.0747833251953125,0.171875,0.4598541259765625
0.0702972412109375,0.188385009765625,0.3780364990234375
0.0888671875,0.20379638671875,0.4158782958984375
0.09893798828125,0.172271728515625,0.369964599609375
0.10205078125,0.184356689453125,1.47808837890625
0.106536865234375,0.1554718017578125,1.09710693359375
0.1006622314453125,0.08770751953125,0.6487579345703125
0.10235595703125,0.1689453125,1.0645599365234375
0.0969085693359375,0.182647705078125,0.4204864501953125
0.095428466796875,0.17205810546875,0.5233001708984375
0.1127166748046875,0.17266845703125,0.510986328125
0.1066436767578125,0.1693878173828125,0.4649200439453125
0.105712890625,0.18975830078125,0.387847900390625
0.1033477783203125,0.1961517333984375,0.43548583984375
0.1072235107421875,0.1697235107421875,0.3864593505859375
0.10040283203125,0.1821136474609375,0.433807373046875
0.1204071044921875,0.1867523193359375,0.4503631591796875
0.1077117919921875,0.183319091796875,0.412872314453125
0.1071929931640625,0.1958465576171875,0.3988800048828125
0.1114044189453125,0.1787109375,0.3952178955078125
0.1989898681640625,0.2017669677734375,0.429779052734375
0.067779541015625,0.180145263671875,0.40679931640625
0.0653076171875,0.18829345703125,0.401275634765625
0.0739898681640625,0.1885223388671875,0.4633026123046875
0.0645904541015625,0.1776123046875,0.3833160400390625
0.16461181640625,0.172088623046875,0.462646484375
0.0670318603515625,0.1699676513671875,0.4050140380859375
0.0548858642578125,0.1715240478515625,0.426727294921875
0.10211181640625,0.15936279296875,0.379425048828125
0.105621337890625,0.178619384765625,0.378021240234375
0.1101531982421875,0.174468994140625,0.440460205078125
0.083648681640625,0.172576904296875,0.4771575927734375
0.104248046875,0.167205810546875,0.4846343994140625
0.0828399658203125,0.1554412841796875,0.4085540771484375
0.1116943359375,0.19305419921875,0.4177398681640625
0.1095428466796875,0.1557464599609375,0.495849609375
0.082244873046875,0.1868743896484375,0.4411163330078125
0.1059112548828125,0.1868438720703125,0.4786376953125
0.0831756591796875,0.1659698486328125,0.442291259765625
0.1133575439453125,0.1790618896484375,0.539306640625
0.11181640625,0.188262939453125,0.489776611328125
0.107757568359375,0.1836090087890625,0.5415802001953125
0.1043243408203125,0.175689697265625,0.501922607421875
0.107635498046875,0.1659393310546875,0.4674224853515625
0.0832061767578125,0.1759490966796875,0.5690765380859375
0.1100006103515625,0.1535491943359375,0.4894866943359375
0.110992431640625,0.2073974609375,0.4409942626953125
0.10577392578125,0.1859588623046875,0.38336181640625
0.104949951171875,0.1794586181640625,0.4456024169921875
0.102630615234375,0.1565399169921875,0.418853759765625
0.129913330078125,0.153411865234375,0.406646728515625
0.1035919189453125,0.1654052734375,0.3831329345703125
0.1019287109375,0.1519775390625,0.46807861328125
0.1092376708984375,0.272186279296875,0.384674072265625
0.105377197265625,0.319549560546875,0.42230224609375
0.0883026123046875,0.2208251953125,0.40924072265625
0.1080474853515625,0.1879730224609375,0.4578094482421875
0.10614013671875,0.2108917236328125,0.4336700439453125
0.1098175048828125,0.1868133544921875,0.485870361328125
0.08837890625,0.1897125244140625,0.505462646484375
0.1050262451171875,0.1826934814453125,0.4723663330078125
0.107452392578125,0.1693878173828125,0.3992919921875
0.1197967529296875,0.1854248046875,0.50360107421875
0.1041107177734375,0.199859619140625,0.389495849609375
0.101348876953125,0.20452880859375,0.5193634033203125
0.1092681884765625,0.2053070068359375,0.4507598876953125
0.1031646728515625,0.1873779296875,0.442291259765625
0.11065673828125,0.171875,0.484893798828125
0.10943603515625,0.17108154296875,0.4791107177734375
0.1050872802734375,0.20257568359375,0.506103515625
0.099334716796875,0.166748046875,0.4804840087890625
0.0826568603515625,0.1878662109375,0.440185546875
0.1020660400390625,0.18707275390625,0.3829803466796875
0.08197021484375,0.201080322265625,0.41510009765625
0.1051177978515625,0.1555023193359375,0.463134765625
