task_3,task_4,task_5
0.1010589599609375,0.0305328369140625,0.2445831298828125
0.1417694091796875,0.02679443359375,0.2505950927734375
0.12548828125,0.0323333740234375,0.2142181396484375
0.161651611328125,0.053497314453125,0.2123565673828125
0.1028900146484375,0.047821044921875,0.227142333984375
0.112030029296875,0.0687408447265625,0.2188262939453125
0.1076202392578125,0.093780517578125,0.217254638671875
0.1107330322265625,0.1396026611328125,0.2042083740234375
0.102386474609375,0.065338134765625,0.1634368896484375
0.1103668212890625,0.018341064453125,0.1493682861328125
0.1098175048828125,0.111358642578125,0.1879119873046875
0.111297607421875,0.107086181640625,0.1703948974609375
0.1057586669921875,0.1172332763671875,0.1578216552734375
0.0953216552734375,0.1157989501953125,0.16754150390625
0.1163330078125,0.1077423095703125,0.167022705078125
0.1030426025390625,0.1125640869140625,0.175933837890625
0.0813751220703125,0.0836334228515625,0.1791534423828125
0.100830078125,0.1033172607421875,0.18701171875
0.1051177978515625,0.0654296875,0.1673736572265625
0.102783203125,0.0776519775390625,0.160858154296875
0.096954345703125,0.064605712890625,0.1512908935546875
0.0820159912109375,0.07745361328125,0.1216583251953125
0.098846435546875,0.07940673828125,0.0945281982421875
0.103912353515625,0.0783843994140625,0.0975341796875
0.1083984375,0.0630950927734375,0.097381591796875
0.10565185546875,0.0764312744140625,0.089019775390625
0.108001708984375,0.0809478759765625,0.100189208984375
0.1053466796875,0.082550048828125,0.09808349609375
0.1042938232421875,0.08099365234375,0.108245849609375
0.1075592041015625,0.078277587890625,0.0980987548828125
0.08209228515625,0.07916259765625,0.0946502685546875
0.1068572998046875,0.064056396484375,0.149566650390625
0.1040191650390625,0.0800018310546875,0.1646881103515625
0.1103668212890625,0.0800628662109375,0.173248291015625
0.082733154296875,0.0677337646484375,0.178924560546875
0.10296630859375,0.080535888671875,0.168853759765625
0.1092071533203125,0.080352783203125,0.1539154052734375
0.0829925537109375,0.0812835693359375,0.166656494140625
0.1026763916015625,0.0797119140625,0.174591064453125
0.1077880859375,0.0831298828125,0.1847076416015625
0.1062164306640625,0.0770263671875,0.1643524169921875
0.1074371337890625,0.07977294921875,0.17523193359375
0.08184814453125,0.083648681640625,0.1685333251953125
0.102081298828125,0.0815277099609375,0.147613525390625
0.1070709228515625,0.080963134765625,0.15374755859375
0.1067657470703125,0.078948974609375,0.174285888671875
0.1074981689453125,0.081634521484375,0.1549530029296875
0.083282470703125,0.0799102783203125,0.15655517578125
0.10589599609375,0.0780487060546875,0.1702728271484375
0.10772705078125,0.0809173583984375,0.170501708984375
0.1085205078125,0.082550048828125,0.160308837890625
0.1072235107421875,0.082489013671875,0.156005859375
0.113922119140625,0.0831756591796875,0.1790618896484375
0.101226806640625,0.081268310546875,0.168731689453125
0.1051025390625,0.080169677734375,0.174407958984375
0.1066436767578125,0.0777587890625,0.164520263671875
0.1065826416015625,0.0782928466796875,0.1998291015625
0.107086181640625,0.0749053955078125,0.164093017578125
0.108367919921875,0.0812835693359375,0.16748046875
0.0813751220703125,0.0736083984375,0.1566009521484375
0.106048583984375,0.081085205078125,0.1931304931640625
0.1093597412109375,0.06488037109375,0.17120361328125
0.0977325439453125,0.0825653076171875,0.1884307861328125
0.1076507568359375,0.0768890380859375,0.16400146484375
0.1162109375,0.0780792236328125,0.13983154296875
0.111907958984375,0.08074951171875,0.148712158203125
0.1063690185546875,0.07794189453125,0.15325927734375
0.0836029052734375,0.083770751953125,0.152099609375
0.1079559326171875,0.0799713134765625,0.1374359130859375
0.1077880859375,0.086517333984375,0.1366424560546875
0.1071929931640625,0.041595458984375,0.165069580078125
0.109130859375,0.043853759765625,0.1761016845703125
0.083648681640625,0.1314697265625,0.1647186279296875
0.1044769287109375,0.089385986328125,0.148284912109375
0.1081390380859375,0.088470458984375,0.17523193359375
0.1058807373046875,0.1024932861328125,0.14892578125
0.1084442138671875,0.0867156982421875,0.1503753662109375
0.0826873779296875,0.0871429443359375,0.1487274169921875
0.10498046875,0.091217041015625,0.1746826171875
0.10821533203125,0.0845947265625,0.165069580078125
0.110260009765625,0.0865325927734375,0.17230224609375
0.09869384765625,0.091705322265625,0.170074462890625
0.0820770263671875,0.091033935546875,0.195648193359375
0.1012115478515625,0.089202880859375,0.1490325927734375
0.103424072265625,0.0840301513671875,0.16839599609375
0.1091766357421875,0.089263916015625,0.1734619140625
0.0828857421875,0.0872955322265625,0.176422119140625
0.108734130859375,0.10345458984375,0.1477813720703125
0.0841217041015625,0.0902557373046875,0.1496124267578125
0.1067047119140625,0.0892181396484375,0.1640777587890625
0.1103973388671875,0.0876922607421875,0.149139404296875
0.1050872802734375,0.100982666015625,0.1538848876953125
0.108795166015625,0.0869903564453125,0.170654296875
0.1083526611328125,0.091217041015625,0.160491943359375
0.1093292236328125,0.0892333984375,0.1560211181640625
0.105804443359375,0.0888671875,0.16717529296875
0.0940399169921875,0.0877227783203125,0.1558837890625
0.1063385009765625,0.08514404296875,0.177459716796875
0.1097259521484375,0.0879669189453125,0.16839599609375
0.105621337890625,0.07977294921875,0.1694793701171875
0.1063079833984375,0.08807373046875,0.1877593994140625
