Stations_id,Datenquelle,Jan.,Feb.,M�rz,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
2638,51,      -1.2,       -.8,2,       4.8,       9.8,      12.5,      15.2,15,      11.6,       7.2,       2.1,       -.1,       6.5
2641,46,        .5,1,       4.7,       8.2,      13.5,      16.4,      18.5,      18.3,      14.2,       9.3,       4.5,       1.8,       9.2
2654,46,       1.4,       2.3,       5.9,       9.1,      13.8,      16.7,      18.9,      18.4,      14.5,       9.7,       4.9,       2.5,       9.9
2657,51,       2.5,3,       6.5,       9.5,      14.2,      17.3,      19.3,      18.9,      14.8,      10.3,       5.8,       3.6,      10.5
2665,46,       3.2,       3.7,       6.9,       9.8,      14.4,17,      19.1,      18.8,      15.1,      10.9,       6.5,       4.3,      10.8
2667,51,       2.5,       2.8,       6.1,9,      13.7,      16.3,      18.4,18,      14.3,      10.2,       5.8,       3.7,10
2680,51,       -.6,        .2,       4.2,       7.7,      12.7,      15.6,      17.5,      17.2,      13.2,       8.1,       3.3,        .9,       8.3
2689,46,       1.1,       1.5,       4.4,       7.6,      12.6,      15.2,      17.2,17,      13.3,       9.1,       4.8,       2.4,       8.8
2691,46,-1,        .1,       4.2,       7.8,      13.2,16,      17.9,      17.5,      13.3,       8.2,3,        .3,       8.4
2700,51,-1,        .2,       4.4,       8.1,      13.2,      15.7,      17.8,      17.6,      13.5,       8.5,3,        .5,       8.4
2701,46,        .4,1,       4.6,       8.1,      13.2,16,      18.1,      17.7,      13.8,       9.2,       4.4,       1.8,9
2703,46,       -.2,        .2,       3.2,       6.2,      11.1,      13.7,      15.7,      15.5,      12.1,8,       3.4,       1.1,       7.5
2704,46,        .7,       1.3,       4.8,       8.6,      13.7,      16.5,      18.6,      18.3,      14.2,       9.5,       4.5,2,       9.4
2708,46,       -.9,       -.2,       3.3,       6.4,      11.4,      14.1,      16.4,16,      12.5,       8.1,       2.7,        .3,       7.5
2712,51,        .6,       1.5,       5.5,       8.7,      13.7,      16.8,19,      18.7,      14.7,       9.6,       4.3,       1.7,       9.5
2717,46,       -.4,        .1,       3.4,       6.5,      11.3,14,16,      15.9,      12.2,       7.9,       3.2,        .9,       7.6
2750,51,       -.5,        .2,       3.8,       7.5,      12.6,      15.5,      17.3,      16.9,      12.9,       8.2,       3.3,        .9,       8.2
2761,46,       -.9,        .1,       3.8,7,      12.1,      15.1,      17.1,      16.6,      12.8,       8.1,3,        .4,       7.9
2770,46,        .8,       1.2,       3.9,       7.1,12,      14.9,      16.9,      16.8,      13.1,9,       4.7,       2.1,       8.5
2773,46,      -1.2,       -.2,       3.9,       7.5,      12.9,      15.6,      17.5,      17.2,      13.1,8,       2.9,        .2,       8.1
