Stations_id,Datenquelle,Jan.,Feb.,M�rz,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
3527,51,      -1.3,       -.7,       2.8,       6.2,      11.2,      13.7,      15.9,      15.8,12,       7.4,       2.4,0,       7.1
3537,51,1,       1.4,4,       7.4,      12.3,      15.2,      17.2,      16.8,      13.1,9,       4.8,       2.3,       8.7
3540,46,       1.7,       2.1,       5.3,       8.1,      12.8,      15.4,      17.5,17,      13.5,       9.5,       5.1,       2.9,       9.2
3541,46,       1.9,       2.4,       5.5,       8.4,13,      15.5,      17.5,      17.2,      13.7,       9.7,       5.2,       3.1,       9.4
3545,51,       1.3,       1.9,       5.4,       8.4,      13.2,      16.2,      18.2,      17.6,      13.4,       9.2,       4.6,       2.4,       9.3
3552,51,        .1,        .7,       3.9,       7.9,      13.2,      16.1,18,      17.8,      13.7,       9.2,       4.4,       1.6,       8.8
3565,51,       -.2,        .6,       4.5,8,      13.1,      15.9,18,      17.7,      13.5,       8.6,       3.6,       1.1,       8.6
3571,46,      -1.5,       -.5,       3.3,7,      12.3,15,      16.9,      16.6,      12.5,       7.6,       2.5,       -.1,       7.6
3575,46,       1.8,       2.7,       6.5,       9.8,      14.5,      17.4,      19.7,      19.3,      15.3,      10.2,       5.3,3,      10.5
3576,51,       1.7,       2.5,       6.7,       9.9,      14.6,      17.7,      19.8,      19.2,      15.3,      10.3,       5.2,       2.9,      10.4
3577,46,       -.1,        .5,       3.5,       7.3,      12.5,      15.4,      17.5,      17.2,      13.3,       8.8,4,       1.3,       8.4
3578,46,      -1.2,0,       4.5,       8.4,      13.8,      16.5,      18.4,      18.1,      13.8,       8.4,       3.1,        .2,       8.7
3590,51,        .9,       1.7,       5.7,9,      13.7,      16.4,      18.4,18,      14.1,       9.1,       4.5,       2.1,       9.4
3591,46,       1.3,       1.6,       4.6,       7.2,      11.8,      14.5,      16.7,      16.4,      13.1,       9.2,       4.7,       2.5,       8.6
3595,51,        .7,       1.1,       4.7,       7.8,      12.8,      15.8,      17.6,17,13,       8.6,       4.2,2,       8.7
3603,46,       -.5,        .3,4,       7.2,      12.1,15,      17.1,      16.8,      12.9,       8.2,       3.3,        .9,       8.1
3605,46,       -.9,        .1,       4.1,       7.6,      12.6,      15.4,      17.5,17,13,       8.2,       3.1,        .4,       8.2
3612,51,       1.6,2,       4.8,       8.2,      13.1,      15.7,      17.7,      17.4,      13.8,       9.5,       5.2,       2.9,       9.3
3621,51,-1,        .1,       4.1,       7.6,      12.7,      15.4,      17.5,      17.1,      13.2,       8.2,       3.1,        .5,       8.1
3623,46,       2.6,3,       6.1,       8.9,      13.6,      16.2,      18.3,      17.9,      14.4,      10.3,       5.9,       3.8,      10.1
3639,46,       1.5,       1.8,       4.2,       7.3,12,      14.7,      16.8,      16.9,      13.7,       9.7,       5.4,       2.8,       8.9
3640,51,       2.2,       2.5,       5.5,       8.4,      13.2,      15.7,      17.7,      17.3,      13.8,       9.8,       5.6,       3.4,       9.5
3659,46,       -.7,       -.3,       2.8,       5.7,      10.4,      13.1,      15.4,      15.3,      11.8,       7.5,       2.8,        .5,7
3660,46,        .3,        .7,       3.9,       6.8,      11.5,      14.3,      16.5,      16.4,      12.8,       8.3,       3.7,       1.4,       8.1
3666,46,       -.1,        .8,       4.5,       8.2,      13.5,      16.4,      18.5,18,      13.9,       8.7,       3.8,       1.1,       8.9
3667,46,       -.4,        .4,       4.1,       7.5,      12.9,      15.8,      17.8,      17.3,      13.3,       8.4,       3.4,        .9,       8.5
3668,51,0,        .9,       4.7,       8.3,      13.6,      16.4,      18.4,18,      13.8,       8.8,       3.8,       1.3,       8.9
3671,46,        .7,       1.7,       5.4,       8.7,      13.4,      16.2,      18.3,      17.9,14,       9.1,       4.2,       1.8,       9.3
3672,46,0,        .9,       4.3,       7.5,      12.3,      15.2,      17.4,17,      13.2,       8.6,       3.6,       1.3,       8.4
3679,46,      -1.7,       -.2,       3.9,       7.7,      12.9,      15.4,      17.4,17,      13.4,       8.6,       2.7,       -.8,8
3694,46,-3,      -2.6,        .3,       3.7,       8.8,      11.7,      13.7,      13.7,      10.1,       5.8,        .5,      -1.8,       5.1
3702,51,       -.3,        .5,       3.9,       6.5,      11.1,      13.6,      15.9,      15.6,      12.1,       8.2,       3.7,        .8,       7.6
3705,46,       -.1,        .8,       4.1,       7.1,12,15,      17.1,      16.6,      12.9,       8.5,       3.4,       1.1,       8.2
3722,46,      -1.1,       -.1,       3.9,       7.5,      12.7,      15.5,      17.7,      17.3,      13.2,       8.2,       2.9,        .3,       8.2
3730,51,-3,-2,       1.6,5,      10.4,      13.3,      15.5,      15.1,      11.5,       7.1,       1.2,      -1.8,       6.1
3734,46,       1.1,       2.1,       5.8,       9.1,      13.9,      16.7,      18.9,      18.4,      14.4,       9.7,       4.8,       2.4,       9.8
3735,46,      -1.2,        .1,       4.1,       7.7,13,      15.8,      17.7,      17.4,      13.4,       8.4,3,        .1,       8.3
3739,51,      -2.1,      -1.2,       2.7,       6.6,      11.8,      14.5,      16.4,      16.2,      12.1,       7.2,       1.9,       -.7,       7.1
3744,46,        .4,        .8,       4.2,       7.3,      12.1,      14.8,      16.7,      16.4,      12.9,       8.6,       4.2,       1.7,       8.3
3751,46,      -1.2,       -.2,       3.4,       6.7,      11.8,      14.6,      16.9,      16.4,      12.6,       7.9,       2.6,        .1,       7.6
3752,46,      -3.2,      -2.8,        .3,       3.7,       9.1,      11.8,      13.8,      13.7,      10.1,       5.7,        .2,      -2.1,5
3753,46,       2.3,       2.6,       5.5,       8.6,      13.3,      15.8,      17.8,      17.6,      14.1,10,       5.7,       3.5,       9.7
3761,51,1,       1.8,       5.6,       8.9,      13.8,      16.5,      18.7,      18.4,      14.3,       9.5,       4.6,       2.2,       9.6
3776,46,2,       2.8,       6.6,10,      14.8,      17.7,      19.8,      19.4,      15.2,      10.2,       5.4,       3.1,      10.6
3777,51,       2.1,       3.1,       7.1,      10.2,      14.9,      17.4,      19.7,      19.3,      15.7,      10.7,       5.7,       3.3,      10.7
3788,46,       -.9,0,       3.5,       7.2,      12.6,      15.4,      17.2,      16.9,13,       8.6,       3.3,        .5,       8.1
3790,46,       1.7,2,       4.8,       7.9,      12.6,      15.2,      17.2,17,      13.5,       9.5,       5.3,3,       9.1
3791,46,       1.6,       1.9,       4.7,       7.8,      12.5,      15.1,      17.2,      16.9,      13.5,       9.5,       5.3,       2.9,       9.1
3811,46,        .3,1,       4.5,8,      13.2,      16.1,      18.2,18,      13.9,       9.3,       4.3,       1.7,9
3815,46,       1.8,       2.2,       5.2,       8.3,13,      15.5,      17.6,      17.5,      13.9,       9.8,       5.4,       3.1,       9.4
3818,46,        .5,1,       4.3,       7.8,      13.1,      15.9,      17.9,      17.6,      13.6,9,       4.5,       1.9,       8.9
3821,46,        .2,        .8,       4.3,       7.9,13,      15.8,      17.9,      17.7,      13.8,       9.1,       4.2,       1.6,       8.8
3825,46,        .7,       1.5,       4.8,       8.1,      12.5,      15.4,      17.6,      17.3,      13.4,       8.9,       4.2,       1.8,       8.9
3836,51,       -.6,       -.4,       3.9,       7.4,      12.4,      15.5,      17.4,      16.9,      12.9,       7.8,       3.1,        .5,       8.1
3856,46,       -.9,       -.6,       2.2,       4.9,10,      12.7,      15.1,15,      11.8,       7.7,       2.5,        .4,       6.7
3857,46,-1,       -.5,       2.6,       5.5,      10.6,      13.4,      15.8,      15.6,      12.1,       7.9,       2.6,        .4,       7.1
3867,46,       1.8,       2.1,       4.8,       7.7,      12.4,      14.9,17,      16.8,      13.6,       9.6,       5.4,       3.1,       9.1
3875,51,      -1.9,       -.7,       3.5,       7.2,      12.4,15,      17.1,      16.8,      12.6,       7.5,       2.2,       -.5,       7.5
3878,46,      -1.3,        .2,       4.4,       8.4,      13.8,      16.4,      18.2,      17.9,      13.7,       8.6,       3.1,0,       8.6
3879,51,      -1.6,       -.4,4,       7.9,      13.2,      15.7,      17.9,      17.3,      13.3,       8.4,       2.8,       -.3,       8.2
3883,46,      -1.2,       -.7,       2.8,       6.1,      11.3,      14.3,      16.2,      15.9,      12.3,       7.7,       2.8,        .2,       7.3
3897,46,       1.1,       1.4,       3.9,       7.1,      11.9,      15.1,      17.2,      17.1,      13.6,       9.4,       5.1,       2.5,       8.8
3903,46,       2.1,       2.8,       6.1,9,      13.5,      16.5,      18.6,      18.2,      14.3,10,       5.4,       3.3,10
3904,46,       2.2,       2.8,       6.1,9,      13.5,      16.5,      18.6,      18.2,      14.3,      10.1,       5.4,       3.3,10
3915,46,       -.1,        .7,4,       7.9,      13.3,      16.2,      18.1,      17.7,      13.6,       8.9,4,       1.3,       8.8
3922,51,       -.9,       -.1,4,       7.4,      12.4,      15.3,      17.2,17,      13.1,       8.5,       3.1,        .5,       8.1
3924,51,       1.4,       2.1,       5.5,       8.5,      13.2,      16.2,      18.5,      17.9,14,       9.5,       4.8,       2.5,       9.5
3925,46,        .9,       1.5,5,       8.1,      12.9,      15.8,18,      17.5,      13.7,       9.1,       4.2,2,       9.1
3927,51,      -1.5,       -.6,       3.1,       6.3,      11.2,      14.1,      16.4,      15.8,      12.1,       7.5,       2.3,       -.2,       7.2
3929,46,       1.9,       2.9,       6.8,      10.1,      14.9,      17.8,20,      19.5,      15.4,      10.3,       5.4,       3.1,      10.7
3939,46,        .3,        .8,4,       6.9,      11.5,      14.4,      16.3,      15.8,      12.2,       8.2,       3.6,       1.4,8
3946,51,-1,       -.3,       3.3,       6.5,      11.7,      14.8,      16.6,      16.6,      12.6,8,       2.9,        .4,       7.5
3955,46,1,       1.2,       3.7,7,      11.9,15,17,      16.9,      13.4,       9.5,       5.1,       2.5,       8.7
3974,46,-1,       -.1,       3.6,       7.1,      12.2,      14.9,      16.8,      16.5,      12.7,       7.9,3,        .4,       7.8
3975,46,      -1.6,       -.9,       2.8,       6.3,      11.4,      14.2,      16.1,      15.8,12,       7.4,       2.3,       -.3,       7.1
3987,51,        .1,        .8,       4.4,       8.4,      13.7,      16.3,      18.3,18,      13.8,9,       4.1,       1.4,9
3988,46,        .1,        .8,       4.3,       8.3,      13.7,      16.5,      18.4,18,      13.8,       9.1,       4.1,       1.4,9
4005,46,      -1.1,0,       3.8,       7.3,      12.6,      15.3,      17.4,17,      13.3,       8.5,       2.9,        .1,       8.1
4018,46,-1,0,4,       7.4,      12.6,      15.3,      17.6,      17.2,      13.3,       8.3,3,        .4,       8.2
4024,46,        .3,        .5,       2.9,       6.3,      11.2,      14.7,      16.8,      16.9,      13.2,9,       4.4,       1.7,       8.2
4029,46,       1.9,       2.2,5,       8.1,      12.8,      15.4,      17.4,      17.1,      13.7,       9.6,       5.4,       3.1,       9.3
4032,51,1,       1.1,       4.4,       7.9,      13.1,      16.1,      18.2,      17.6,14,       9.3,       4.9,       2.3,       9.2
4036,46,        .2,        .7,       4.2,       7.8,      12.8,      15.7,      17.7,      17.6,      13.6,       8.8,4,       1.5,       8.7
4038,46,1,       1.4,       4.1,       7.3,      12.1,      14.9,      16.9,      16.6,      13.2,       9.1,       4.9,       2.3,       8.6
4039,46,1,       1.4,       4.1,       7.3,      12.1,      14.9,      16.9,      16.6,      13.1,       9.1,       4.8,       2.3,       8.6
4053,46,        .2,       1.2,5,       8.6,      13.5,      16.6,      18.7,      18.2,      14.3,       9.3,       4.1,       1.5,       9.3
4063,51,       1.6,2,       4.9,8,      12.7,      15.5,      17.5,      17.4,      13.6,       9.5,       5.3,3,       9.2
4066,46,       -.6,        .2,4,       7.2,      12.4,      15.1,      17.4,      16.9,      13.2,       8.5,       3.1,        .6,       8.2
4077,46,2,3,       6.7,       9.9,      14.6,      17.4,      19.7,      19.2,      15.3,      10.4,       5.6,       3.2,      10.6
4079,46,        .1,        .7,       4.4,       7.9,13,      15.8,      17.8,      17.5,      13.6,       8.9,       4.1,       1.5,       8.8
4091,46,      -2.6,-3,      -1.2,       1.2,       6.5,9,      11.5,      11.8,       8.7,       5.7,        .3,      -1.7,       3.9
4094,51,       -.4,        .4,       4.6,       7.8,      12.9,16,18,      17.5,      13.4,       8.6,       3.6,        .6,       8.6
4100,46,       2.5,       2.8,       5.8,       8.7,      13.3,      15.9,      17.9,      17.6,14,10,       5.8,       3.7,       9.8
4104,51,      -1.2,0,       4.5,       8.4,      13.7,      16.4,      18.4,      18.1,      13.6,       8.2,       2.9,        .1,       8.5
4125,51,        .3,       1.3,       5.1,       8.7,      13.6,16,18,      17.7,      14.4,       9.4,4,       1.4,       9.1
4127,46,        .9,       1.4,       4.4,       7.4,      12.3,      14.8,17,      16.6,13,       8.9,       4.3,       2.1,       8.6
4149,46,      -2.3,      -1.9,       1.1,       4.6,       9.9,      12.6,      14.6,      14.7,      10.9,       6.6,       1.4,-1,       5.9
4152,46,       -.8,       -.1,       3.1,       6.3,      11.2,      14.1,      16.5,16,      12.4,       7.8,       2.6,        .2,       7.4
4154,46,       1.1,       1.5,       4.4,       7.3,12,      14.5,      16.7,      16.3,      12.8,9,       4.4,       2.3,       8.5
4156,46,1,       1.3,       3.8,7,      11.8,      14.9,      16.9,      16.7,      13.1,9,       4.9,       2.4,       8.6
4160,46,        .2,        .9,       4.3,       7.5,      12.3,      15.1,      17.4,17,      13.2,       8.7,       3.7,       1.4,       8.5
4166,46,        .5,       1.5,       5.2,       8.4,      13.3,      16.2,      18.4,      17.9,      13.9,       9.2,       4.2,       1.8,       9.2
4169,51,       1.5,       2.4,       6.3,       9.6,      14.2,17,      19.2,      18.7,      14.6,       9.8,       4.9,       2.6,10
4174,46,       2.3,       2.6,       5.5,       8.5,      13.3,      15.7,      17.8,      17.5,14,       9.9,       5.7,       3.5,       9.7
4175,51,       1.6,       2.8,       6.4,       9.4,      13.9,      17.3,      19.4,      18.8,      14.7,      10.3,       5.4,       2.8,      10.2
4177,46,       1.6,       2.6,       6.5,       9.8,      14.5,      17.3,      19.7,      19.3,      15.1,      10.1,       5.2,       2.8,      10.4
4189,46,       -.6,        .4,4,       7.2,      12.2,15,      17.3,      16.9,13,       8.4,       3.2,        .6,       8.1
4222,51,       -.7,       -.2,       3.2,       6.6,      11.9,      14.7,      16.7,      16.3,      12.6,       8.1,       3.1,        .6,       7.7
4233,46,       -.7,       -.3,       3.4,       6.7,      11.6,      14.3,      16.5,16,      12.3,       7.8,       2.9,        .6,       7.6
4240,46,       1.1,       1.3,4,       6.5,      11.1,      13.7,      15.9,      15.7,      12.5,       8.9,       4.4,       2.3,       8.1
4261,51,       -.9,        .4,       4.5,8,13,      15.9,18,      17.4,      13.3,       8.5,       3.3,        .4,       8.5
4271,51,       1.2,       1.5,       3.9,       7.1,      11.9,      15.2,      17.5,      17.5,14,       9.9,       5.4,       2.7,       8.9
4275,51,1,       1.5,       4.4,       7.7,      12.8,      15.4,      17.5,17,      13.4,       9.2,       4.8,       2.4,       8.9
4278,51,       -.5,        .4,       4.3,       7.9,      13.4,      16.3,      18.4,      17.9,      13.5,       8.3,       3.3,        .8,       8.6
4280,46,       -.6,        .3,       4.2,       7.8,      13.1,      16.1,      18.2,      17.7,      13.4,       8.3,       3.3,        .8,       8.5
4287,51,       -.3,        .5,       4.3,       7.7,      12.6,      15.4,      17.5,      17.3,      13.3,       8.5,       3.4,1,       8.4
4288,46,       1.7,       2.1,       5.2,       8.3,13,      15.6,      17.6,      17.3,      13.7,       9.6,       5.3,3,       9.4
4293,51,      -1.8,       -.9,       2.4,       5.7,      11.1,      13.8,16,      15.5,12,       7.5,2,       -.8,       6.8
4294,46,        .3,       1.2,       4.9,       8.1,      12.9,      15.9,      18.2,      17.8,      13.8,9,       3.9,       1.5,       8.9
4300,46,       -.7,        .2,       3.5,       6.6,      11.5,      14.6,      16.9,      16.4,      12.7,       8.1,3,        .5,       7.8
4301,51,       1.6,       2.2,       6.2,       9.5,      14.3,      17.3,      19.4,      18.9,      14.6,       9.4,       4.9,       2.7,      10.1
4318,51,-2,      -1.3,2,5,      10.3,      13.1,      15.1,      14.9,      11.6,       7.2,       1.7,-1,       6.3
4320,46,        .9,       1.2,       3.8,7,      11.9,      14.9,      16.8,      16.8,      13.2,       9.1,       4.8,       2.2,       8.6
4323,51,0,        .8,       4.4,       7.6,      12.3,      15.1,      17.5,      17.5,      13.6,       8.8,       3.6,       1.1,       8.5
4327,46,      -2.8,-2,       1.7,       5.2,      10.6,      13.1,15,      14.8,11,       6.4,       1.3,      -1.5,       6.1
4330,46,        .4,       1.3,       4.9,8,      12.8,      15.6,18,      17.6,      13.8,9,4,       1.7,       8.9
4332,46,       -.1,        .7,       4.4,       7.9,      13.1,      15.7,      17.9,      17.5,      13.5,       8.6,       3.8,       1.2,       8.7
4336,51,        .8,       1.7,       5.2,       8.2,      12.7,      15.5,      17.8,      17.6,      13.7,       9.2,       4.2,2,9
4339,51,       2.1,3,       6.5,       9.6,      14.2,      17.2,      19.4,      18.8,      14.7,      10.2,       5.5,       3.2,      10.3
4347,46,       -.6,       -.2,3,       6.8,12,      14.5,      16.4,16,      12.2,       7.7,       3.1,        .5,       7.6
4349,46,       1.2,       2.1,       5.9,       9.2,      13.9,      16.7,      18.9,      18.5,      14.5,       9.7,       4.8,       2.4,       9.8
4350,51,        .6,       1.9,       5.3,       8.6,      13.3,      16.2,      18.6,18,      14.1,       9.3,       4.1,       1.8,       9.3
4354,46,      -2.1,       -.8,       3.2,       7.1,      12.6,      15.2,17,      16.7,      12.7,       7.8,       2.3,       -.7,       7.6
4364,51,       1.2,       1.4,       4.8,       8.2,      13.4,      16.2,      18.2,      17.9,      13.9,       9.4,5,       2.5,       9.3
4367,46,        .8,       1.2,       4.2,       7.4,      12.2,      14.8,      16.8,      16.6,      13.1,       8.9,       4.5,       2.1,       8.6
4371,51,       1.6,2,       5.2,       8.3,13,      15.4,      17.5,      17.3,      13.7,       9.6,       5.3,       2.9,       9.3
4373,46,        .7,       1.2,       4.3,       7.9,      13.1,      15.8,      17.7,      17.4,      13.5,       9.1,       4.7,       2.1,9
4377,51,      -1.3,       -.5,       3.1,       6.7,      11.6,      14.3,      16.5,      16.4,      12.6,       7.7,       2.3,0,       7.4
4386,51,      -1.7,-1,2,       5.2,      10.4,      13.5,      15.7,      15.1,      11.1,       6.7,       1.6,       -.7,       6.5
4390,51,       -.1,        .2,       2.7,       5.5,      10.4,      13.2,      15.8,      15.6,      12.2,       8.1,       3.1,       1.1,       7.3
4391,46,       1.1,       1.3,       3.9,       7.1,      11.8,      14.7,      16.7,      16.6,      13.3,       9.3,5,       2.5,       8.6
4393,46,       1.4,       1.4,       3.7,7,      11.6,      14.7,      16.9,17,      13.9,       9.8,       5.5,       2.9,       8.8
4396,46,        .6,       1.3,       4.6,       7.7,      12.4,      15.2,      17.5,      17.1,      13.2,       8.7,       3.9,       1.6,       8.7
4397,46,        .4,       1.1,       4.6,       7.7,      12.2,15,      17.2,17,      13.2,       8.7,       3.8,       1.5,       8.5
4401,46,2,       2.3,       5.5,       8.4,      13.1,      15.7,      17.9,      17.6,      13.9,       9.8,       5.5,       3.3,       9.6
4411,46,       1.3,2,       5.7,       8.9,      13.6,      16.5,      18.5,      18.1,      14.3,       9.5,       4.8,       2.5,       9.6
4419,51,       1.7,       2.8,       6.7,10,      14.8,      17.7,20,      19.5,      15.4,      10.3,       5.3,       2.8,      10.5
4425,46,        .1,        .8,       4.1,       7.2,      11.8,      14.6,17,      16.9,      12.8,       8.4,       3.5,       1.2,       8.2
4433,46,       -.8,        .1,4,       7.3,      12.4,      15.2,      17.4,      16.9,      13.1,       8.3,       3.1,        .5,       8.1
4436,46,       -.2,        .3,       3.9,       7.2,      12.2,15,17,      16.7,      12.9,       8.2,       3.5,       1.1,       8.2
4438,46,       -.5,        .3,       4.2,       7.8,13,      15.7,      17.6,      17.3,      13.3,       8.4,       3.4,        .9,       8.5
4442,46,       1.2,       1.6,       4.8,8,      12.8,      15.4,      17.4,      17.1,      13.4,       9.3,       4.9,       2.5,9
4445,51,      -2.1,      -2.2,        .5,       3.6,       9.2,12,      13.9,      13.5,      10.1,       6.2,       1.7,      -1.1,       5.4
4464,46,      -1.3,       -.6,       2.9,       6.4,      11.6,      14.4,      16.4,      16.3,      12.4,       7.7,       2.6,0,       7.4
4466,51,        .9,       1.1,       3.6,       6.8,      11.5,      14.5,      16.4,      16.3,      12.9,9,       4.7,       2.3,       8.3
4468,46,1,       1.2,       3.5,       6.7,      11.4,      14.5,      16.5,      16.4,13,       9.1,       4.8,       2.3,       8.4
4474,46,       1.2,       1.9,       5.5,       8.8,      13.4,      16.3,      18.4,18,      14.1,       9.3,       4.6,       2.4,       9.5
4479,46,       -.4,        .1,       3.8,7,12,      14.8,      16.8,      16.4,      12.6,8,       3.3,        .9,       7.9
4480,46,        .4,        .9,       4.7,       8.1,13,      15.8,      17.9,      17.3,      13.4,       8.6,4,       1.6,       8.8
4484,46,        .8,       1.2,4,       7.3,      12.1,      14.8,      16.9,      16.7,      13.1,       8.9,       4.7,       2.2,       8.6
4485,46,       -.5,        .1,       3.8,       7.3,      12.3,15,      17.1,      16.8,      12.9,       8.1,       3.3,        .8,       8.1
4489,46,        .7,        .9,4,       7.3,      12.4,15,      17.2,      17.1,      13.2,       8.7,       4.4,       1.9,       8.6
4490,51,       1.4,2,       5.3,       8.3,      12.9,      15.8,      17.9,      17.3,      13.5,       9.2,       4.7,       2.5,       9.2
4501,46,      -3.3,      -2.9,0,       3.3,       8.5,      11.2,      13.2,      13.3,       9.6,       5.3,        .3,      -2.2,       4.7
4505,46,      -2.1,      -1.6,       1.6,5,      10.3,      13.1,15,      14.8,      11.2,       6.8,       1.6,       -.8,       6.2
4508,51,       -.7,       -.4,       2.4,       5.2,       9.9,      12.5,      14.7,      14.6,      11.3,       7.1,       2.5,        .4,       6.6
4517,51,       -.6,       -.1,       2.7,       5.7,      10.6,      13.6,16,      15.7,      12.2,8,3,        .7,       7.3
4548,46,      -2.2,      -1.6,       2.1,       5.6,      10.9,      13.7,      15.6,      15.3,      11.5,       6.7,       1.7,       -.9,       6.5
4557,51,0,       1.2,5,       8.3,      13.1,      16.2,      18.4,      17.8,      13.8,       8.9,       3.7,       1.2,       8.9
4559,46,      -1.2,       -.2,       3.9,       7.6,13,      15.6,      17.6,      17.2,      13.2,       8.1,       2.9,        .1,       8.1
4560,51,        .3,        .9,       4.5,       7.7,      12.6,      15.3,      17.4,      17.1,      13.4,       8.8,       3.8,       1.4,       8.6
4571,51,      -1.3,      -1.1,       1.7,       4.7,      10.1,      12.8,15,      14.6,      10.9,       7.2,       2.5,0,       6.4
4576,46,       -.4,        .4,       4.3,       7.9,      13.1,16,      18.1,      17.6,      13.4,       8.4,       3.4,        .9,       8.6
4581,51,        .7,       1.5,5,       8.2,      13.2,      15.8,18,      17.8,14,       9.4,       4.2,       1.8,       9.1
4582,46,        .3,       1.1,       4.8,8,      12.9,      15.7,      17.9,      17.6,      13.6,       8.8,       3.9,       1.5,       8.8
4584,46,      -1.3,0,4,       7.6,      12.8,      15.6,      17.6,      17.2,      13.2,       8.2,       2.9,        .2,       8.2
4586,46,        .3,        .9,       4.4,       7.5,      12.2,15,      17.1,      16.8,      13.1,       8.6,       3.8,       1.5,       8.4
4592,51,      -1.4,       -.4,4,       7.7,      13.1,      15.8,      17.8,      17.4,      13.1,       7.8,       2.6,0,       8.1
4593,46,        .9,       1.3,       4.5,8,      13.2,      15.9,18,      17.7,      13.8,       9.2,       4.6,       2.1,       9.1
4597,51,      -1.3,       -.6,       2.9,       6.2,      11.2,      13.9,      16.2,      15.9,      12.3,       7.9,       2.6,       -.1,       7.2
4605,51,0,        .5,       3.8,       7.1,12,15,      16.9,      16.3,      12.7,       8.1,       3.7,       1.2,       8.1
4606,46,        .1,        .9,       4.5,       8.3,      13.8,      16.7,      18.6,      18.3,14,       9.3,       4.2,       1.5,       9.2
4612,46,       -.7,       -.2,       3.2,       6.6,      11.7,      14.5,      16.6,      16.3,      12.6,       8.1,       3.2,        .7,       7.7
4621,46,        .2,1,       4.9,       8.6,      13.6,      16.3,      18.3,      17.9,      13.8,       8.8,       3.9,       1.4,       9.1
4625,51,        .4,        .9,       3.8,       7.5,      12.5,      15.3,      17.4,      17.3,      13.4,       9.2,       4.5,       1.9,       8.6
4629,46,        .8,1,       3.3,       6.4,      11.1,      14.1,      16.2,      16.1,      12.8,       8.9,       4.7,       2.2,       8.1
4642,46,        .5,1,       4.1,       7.7,13,      15.8,      17.8,      17.5,      13.5,       8.9,       4.4,       1.8,       8.8
4649,46,       1.8,       2.3,       5.3,       8.2,      12.9,      15.4,      17.5,      17.1,      13.6,       9.6,       5.2,3,       9.3
4651,51,        .6,1,       4.2,       7.4,      12.4,      14.9,      16.9,      16.8,      13.2,       8.9,       4.3,       1.9,       8.5
4656,46,        .7,       1.1,       3.8,       7.1,12,      14.9,      16.9,      16.8,      13.1,9,       4.6,       2.1,       8.5
4664,46,      -2.3,      -1.5,       2.1,       5.7,11,      13.8,      15.7,      15.3,      11.4,       6.7,       1.6,       -.9,       6.5
4692,51,1,       1.4,       4.7,       7.9,      12.9,      15.6,      17.6,      16.9,      13.1,       8.8,       4.4,       2.1,       8.8
4702,46,      -1.3,       -.3,       3.3,       6.6,      11.6,      14.4,      16.7,      16.3,      12.5,       7.7,       2.5,0,       7.5
4703,51,      -1.6,       -.7,       3.2,       6.7,      11.8,      14.6,      16.9,      16.5,      12.6,       7.6,       2.2,       -.3,       7.4
4704,46,       -.4,        .7,       4.4,       7.8,      12.9,      15.7,      18.1,      17.6,      13.8,       8.9,       3.5,        .9,       8.7
4705,46,      -2.9,      -2.2,       1.5,       5.3,      10.6,      13.2,      15.2,      15.1,      11.4,       6.5,1,      -1.6,       6.1
4706,46,      -1.2,        .2,       4.4,       8.1,      13.4,16,18,      17.7,      13.7,       8.6,3,        .2,       8.5
4709,46,        .2,        .9,       4.2,       7.2,      11.8,      14.5,      16.8,      16.7,      12.9,       8.5,       3.7,       1.4,       8.2
4719,46,       1.3,       2.3,6,       9.3,14,      16.8,19,      18.6,      14.6,       9.7,       4.9,       2.5,       9.9
4729,46,       -.3,        .4,4,       7.4,      12.2,15,17,      16.8,13,       8.3,       3.4,1,       8.2
4741,51,       1.8,       2.3,       5.4,       8.4,      13.2,      15.5,      17.7,      17.3,      13.6,       9.5,       5.1,3,       9.4
4745,51,        .7,       1.1,4,       7.4,      12.5,15,      16.9,      16.6,      12.8,       8.7,       4.4,       1.9,       8.4
4748,51,        .1,        .9,       4.3,       7.9,      12.9,      15.8,      17.8,      17.6,      13.6,       8.9,       4.2,       1.7,       8.8
4752,51,      -2.4,      -1.6,2,       5.7,      10.8,      13.4,      15.6,      15.6,      11.7,       7.1,       1.5,-1,       6.4
4763,46,       -.2,        .2,       3.7,7,      11.8,      14.6,      16.6,      16.2,      12.5,8,       3.6,       1.2,       7.9
4765,46,        .8,       1.2,       4.7,8,      12.9,      15.6,      17.6,      17.2,      13.5,       9.1,       4.6,       2.1,       8.9
4775,46,      -1.4,       -.4,       3.7,       7.3,      12.6,      15.3,      17.2,      16.8,      12.8,       7.8,       2.7,0,       7.9
4782,46,        .5,        .9,       4.6,       8.3,      13.6,      16.5,      18.5,      18.1,      13.9,       9.2,       4.3,       1.8,       9.2
4813,46,       -.8,       -.1,       3.7,       7.2,      12.4,      15.1,      17.1,      16.7,      12.8,8,       3.1,        .5,8
4818,46,      -2.2,      -1.5,       2.1,       5.8,11,      13.7,      15.6,      15.2,      11.5,       6.8,       1.8,       -.8,       6.6
4837,46,       1.5,       2.4,       5.9,       8.8,      13.5,      16.5,      18.8,      18.4,      14.7,10,5,       2.7,       9.9
4841,46,       1.4,       1.7,       4.4,       7.6,      12.3,15,17,      16.9,      13.6,       9.5,       5.2,       2.6,       8.9
